,game id,Who Passed,Who Received,Team,Freq,Pass Number,Assist,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
0,0021801225,Jordan Bell,"Evans, Jacob",GSW,2.5%,1.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
1,0021801225,Jordan Bell,"Lee, Damion",GSW,5.0%,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-,0.0,1.0,0.0
2,0021801225,Jordan Bell,"Cook, Quinn",GSW,55.0%,22.0,0.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,2.0,50.0
3,0021801225,Jordan Bell,"Thompson, Klay",GSW,7.5%,3.0,1.0,1.0,1.0,100,0.0,0.0,-,1.0,1.0,100
4,0021801225,Jordan Bell,"Durant, Kevin",GSW,10.0%,4.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
5,0021801225,Jordan Bell,"Bogut, Andrew",GSW,2.5%,1.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
6,0021801225,Jordan Bell,"Iguodala, Andre",GSW,17.5%,7.0,0.0,0.0,1.0,0.0,0.0,0.0,-,0.0,1.0,0.0
7,0021801225,Kevin Durant,"Evans, Jacob",GSW,4.3%,1.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
8,0021801225,Kevin Durant,"Bell, Jordan",GSW,8.7%,2.0,1.0,0.0,1.0,100,1.0,1.0,100,0.0,0.0,-
9,0021801225,Kevin Durant,"McKinnie, Alfonzo",GSW,4.3%,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-,0.0,1.0,0.0
10,0021801225,Kevin Durant,"Cook, Quinn",GSW,17.4%,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,0021801225,Kevin Durant,"Looney, Kevon",GSW,8.7%,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-
12,0021801225,Kevin Durant,"Thompson, Klay",GSW,47.8%,11.0,4.0,1.0,6.0,66.7,3.0,5.0,60.0,1.0,1.0,100
13,0021801225,Kevin Durant,"Jerebko, Jonas",GSW,8.7%,2.0,1.0,0.0,2.0,50.0,1.0,1.0,100,0.0,1.0,0.0
14,0021801225,Andrew Bogut,"Evans, Jacob",GSW,3.3%,1.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
15,0021801225,Andrew Bogut,"Bell, Jordan",GSW,3.3%,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-
16,0021801225,Andrew Bogut,"McKinnie, Alfonzo",GSW,3.3%,1.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
17,0021801225,Andrew Bogut,"Lee, Damion",GSW,16.7%,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-
18,0021801225,Andrew Bogut,"Cook, Quinn",GSW,23.3%,7.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,-
19,0021801225,Andrew Bogut,"Thompson, Klay",GSW,10.0%,3.0,1.0,0.0,1.0,100,1.0,1.0,100,0.0,0.0,-
